category,item_id,payload_json,canonical_sha256
lane,ROUND_LER_SINGLE_MODE,"{""claim_ladder"":[{""allowed_wording"":[""lane-local wording for LER-C0-PROTOCOL at its stated evidence grade""],""claim_id"":""LER-C0-PROTOCOL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROTOCOL_ONLY""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""SUPPORTED_PROTOCOL_ONLY""},{""allowed_wording"":[""lane-local wording for LER-C1-DEVELOPMENT at its stated evidence grade""],""claim_id"":""LER-C1-DEVELOPMENT"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROJECT_NATIVE_DEVELOPMENT_SIMULATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""lane-local wording for LER-C2-TASK-LOCAL-FORMAL at its stated evidence grade""],""claim_id"":""LER-C2-TASK-LOCAL-FORMAL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""lane-local wording for LER-C3-BEST-REGISTERED at its stated evidence grade""],""claim_id"":""LER-C3-BEST-REGISTERED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""SOTA on the frozen single-mode round-LER task after GO_LER_SOTA""],""claim_id"":""LER-C4-SOTA"",""forbidden_wording"":[""lifetime, tail-only, safety, or RTL evidence as an LER substitute"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}],""claim_namespace"":""PHASE9_LER"",""current_result"":{""evaluation_state"":""NOT_EVALUATED_NULL"",""result_verdict"":null},""lane_id"":""ROUND_LER_SINGLE_MODE"",""primary_metrics"":[""p_L"",""p_X"",""p_Y"",""p_Z"",""logical_PTM""],""required_state_ensemble"":[""+X"",""-X"",""+Y"",""-Y"",""+Z"",""-Z""],""result_gate"":{""failure_branches"":[""NOT_EVALUATED_NULL"",""INCOMPLETE_LER_INTEGRITY"",""INCOMPLETE_LER_BASELINE"",""INCOMPLETE_LER_EVIDENCE"",""NO_GO_LER_SOTA_TAIL_ONLY"",""NO_GO_LER_SOTA_ROBUSTNESS_ONLY"",""NO_GO_LER_SOTA_NONINFERIOR"",""NO_GO_LER_SOTA_NEGATIVE""],""go_verdict"":""GO_LER_SOTA"",""no_go_verdict"":""NO_GO_LER_SOTA"",""numeric_thresholds"":{""calibration_worst_window_improvement_lcb"":{""op"":"">"",""value"":0.0},""max_ood_family_degradation_ucb"":{""op"":""<="",""value"":0.05},""min_relative_improvement_point_each_baseline"":{""op"":"">="",""value"":0.15},""min_simultaneous_absolute_lcb_each_baseline"":{""op"":"">"",""value"":0.0},""min_simultaneous_relative_lcb_each_baseline"":{""op"":"">="",""value"":0.1},""stationary_degradation_ucb"":{""op"":""<="",""value"":0.02},""telegraph_cvar_improvement_lcb"":{""op"":"">"",""value"":0.0}},""required_boolean_fields"":[""outcomes_opened"",""integrity_complete"",""all_mandatory_baselines_complete"",""all_signature_eligible"",""no_postselection"",""full_denominator"",""observed_only"",""dual_backend_pass"",""second_statistics_pass"",""six_state_complete"",""all_reset_control_costs_retained""]},""signature"":{""action_cost_contract"":""all_reset_control_fallback_and_idle_costs_retained"",""action_set"":""trusted_codebook_id_bounded_residual_phase_frame_reset_leakage_FSM"",""baseline_eligibility_contract"":""MATCHED_DEPLOYABLE_RANKED_exact_signature_and_pre_pilot_registry"",""code_family"":""single_mode_square_approximate_gkp"",""compute_budget_contract"":""matched_tokens_samples_memory_MAC_FLOP_CPU_GPU_and_restart_ledger"",""cycle_time_contract"":""one_complete_sBs_round_including_measurement_readout_reset_control_and_idle"",""decision_target"":""per_round_logical_Pauli_recovery_outcome"",""denominator_contract"":""all_registered_state_trajectory_round_opportunities_with_timeout_fallback_reset_leakage_and_control_retained"",""evidence_grade_contract"":""UNTOUCHED_FORMAL_SIMULATION_plus_INDEPENDENT_BACKEND_REEVALUATION"",""history_horizon"":""causal_prefix_o_<=t_a_<t_no_future_suffix"",""missingness_contract"":""no_silent_drop_mandatory_failure_closes_SOTA"",""multiplicity_contract"":""paired_cluster_maxT_95pct_all_baselines_endpoints_families"",""noise_drift_family"":""preregistered_stationary_smooth_step_telegraph_burst_compound_action_conditioned_families"",""observability"":""observed_only_hidden_truth_never_deployable"",""observation_schema"":""frozen_same_representation_stratum_of_raw_or_recorded_IQ_LLR_confidence_timestamp_reset_ack_and_past_actions"",""online_privilege"":""same_update_cadence_state_memory_and_deadline"",""physical_backend_contract"":""same_registered_action_conditioned_twin_with_independent_backend_reevaluation"",""postselection_policy"":""PROHIBITED_ZERO_REJECTION_PRIMARY"",""precision_contract"":""same_frozen_IQ_LLR_parameter_and_action_precision_stratum"",""primary_estimand"":""per_round_p_L_p_X_p_Y_p_Z_and_logical_PTM"",""split_contract"":""train_calibration_single_pass_pilot_untouched_formal"",""state_family"":""balanced_plus_minus_X_Y_Z_logical_eigenstates"",""statistical_unit"":""paired_independent_device_scenario_trajectory_cluster_not_round"",""wall_clock_budget_contract"":""matched_inference_update_deadline_and_timeout_accounting""},""signature_sha256"":""984a832fec0c9f423b594a057dc05af98c9876ec19fb026cd1d1bb972b2b0ac2""}",6e35193ae0d03dac12ffe221069a75dc4c4a1b91a06284c8e5ce5adf64c69b0c
claim,LER-C0-PROTOCOL,"{""allowed_wording"":[""lane-local wording for LER-C0-PROTOCOL at its stated evidence grade""],""claim_id"":""LER-C0-PROTOCOL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROTOCOL_ONLY""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""SUPPORTED_PROTOCOL_ONLY""}",4ee2e8fa490a1a8d751361deae8b0a520e55b46cf69a1f37384c2ac2c8708b9e
claim,LER-C1-DEVELOPMENT,"{""allowed_wording"":[""lane-local wording for LER-C1-DEVELOPMENT at its stated evidence grade""],""claim_id"":""LER-C1-DEVELOPMENT"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROJECT_NATIVE_DEVELOPMENT_SIMULATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",2133755725b969a9b5694d96e426e41c0e056189b181253224ed7ca518bc9431
claim,LER-C2-TASK-LOCAL-FORMAL,"{""allowed_wording"":[""lane-local wording for LER-C2-TASK-LOCAL-FORMAL at its stated evidence grade""],""claim_id"":""LER-C2-TASK-LOCAL-FORMAL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",d7d4aeccbab43518f4b8d4b57dcf37ca132080a56464fe2bb0a30eaf23cf4d31
claim,LER-C3-BEST-REGISTERED,"{""allowed_wording"":[""lane-local wording for LER-C3-BEST-REGISTERED at its stated evidence grade""],""claim_id"":""LER-C3-BEST-REGISTERED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",6f22c7d628a9eb42f934f32844687b43d2bb2a9785ca162919af9341f9529da2
claim,LER-C4-SOTA,"{""allowed_wording"":[""SOTA on the frozen single-mode round-LER task after GO_LER_SOTA""],""claim_id"":""LER-C4-SOTA"",""forbidden_wording"":[""lifetime, tail-only, safety, or RTL evidence as an LER substitute"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",18e905f1b4726d38c6b1d5f522953f3cb744a7d6e6eab09b8550ac9a197463f0
lane,SIX_STATE_LOGICAL_LIFETIME,"{""claim_ladder"":[{""allowed_wording"":[""lane-local wording for LIFE-C0-PROTOCOL at its stated evidence grade""],""claim_id"":""LIFE-C0-PROTOCOL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROTOCOL_ONLY""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""SUPPORTED_PROTOCOL_ONLY""},{""allowed_wording"":[""lane-local wording for LIFE-C1-DEVELOPMENT at its stated evidence grade""],""claim_id"":""LIFE-C1-DEVELOPMENT"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROJECT_NATIVE_DEVELOPMENT_SIMULATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""lane-local wording for LIFE-C2-DUAL-BACKEND-SIMULATED at its stated evidence grade""],""claim_id"":""LIFE-C2-DUAL-BACKEND-SIMULATED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""lane-local wording for LIFE-C3-BEST-REGISTERED at its stated evidence grade""],""claim_id"":""LIFE-C3-BEST-REGISTERED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PAPER_CONSTRAINED_REIMPLEMENTATION"",""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""},{""allowed_wording"":[""surpasses official Puviani NMF only after official-exact same-signature qualification""],""claim_id"":""LIFE-C4-PUVIANI-SURPASS"",""forbidden_wording"":[""paper-constrained or project-native evidence described as official Puviani surpass"",""weighted-score or winner-count rescue""],""required_grades"":[""OFFICIAL_EXACT_REPRODUCTION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""BLOCKED_NULL""},{""allowed_wording"":[""physical break-even measured on a protocol-matched QPU""],""claim_id"":""LIFE-C5-PHYSICAL-BREAK-EVEN"",""forbidden_wording"":[""simulator lifetime, matched-idle crossover, or accepted-only curve as physical break-even"",""weighted-score or winner-count rescue""],""required_grades"":[""QPU_MEASURED""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""BLOCKED_NULL""}],""claim_namespace"":""PHASE9_LIFETIME"",""current_result"":{""evaluation_state"":""NOT_EVALUATED_NULL"",""result_verdict"":null},""inheritance_fields"":[""code_family"",""physical_backend_contract"",""observation_schema"",""action_set"",""action_cost_contract"",""noise_drift_family"",""observability"",""online_privilege"",""precision_contract""],""inherits_from_lane"":""ROUND_LER_SINGLE_MODE"",""lane_id"":""SIX_STATE_LOGICAL_LIFETIME"",""minimum_sequence_cycles"":10000,""primary_metrics"":[""T_X"",""T_Y"",""T_Z"",""T_ch"",""area"",""e_folding"",""survival"",""fit_diagnostics""],""required_state_ensemble"":[""+X"",""-X"",""+Y"",""-Y"",""+Z"",""-Z""],""result_gate"":{""failure_branches"":[""NOT_EVALUATED_NULL"",""INCOMPLETE_LIFETIME_INTEGRITY"",""INCOMPLETE_LIFETIME_BASELINE"",""INCOMPLETE_LIFETIME_EVIDENCE"",""NO_GO_LIFETIME_FIT"",""NO_GO_LIFETIME_COST"",""NO_GO_LIFETIME_NONINFERIOR"",""NO_GO_LIFETIME_NEGATIVE""],""go_verdict"":""GO_LIFETIME"",""no_go_verdict"":""NO_GO_LIFETIME"",""numeric_thresholds"":{""min_simultaneous_lifetime_gain_lcb"":{""op"":"">"",""value"":0.0},""min_six_state_relative_gain_point"":{""op"":"">="",""value"":0.15},""minimum_sequence_cycles"":{""op"":"">="",""value"":10000},""reset_control_burden_margin_ucb"":{""op"":""<="",""value"":0.0}},""required_boolean_fields"":[""outcomes_opened"",""integrity_complete"",""all_mandatory_baselines_complete"",""all_signature_eligible"",""no_postselection"",""full_six_state_trajectory_denominator"",""all_lifetime_metrics_complete"",""fit_diagnostics_pass"",""same_cycle_action_reset_control_cost"",""dual_backend_pass"",""second_statistics_pass""]},""signature"":{""action_cost_contract"":""all_reset_control_fallback_and_idle_costs_retained"",""action_set"":""trusted_codebook_id_bounded_residual_phase_frame_reset_leakage_FSM"",""baseline_eligibility_contract"":""same_task_same_cycle_action_reset_control_and_registered_matched_deployable"",""code_family"":""single_mode_square_approximate_gkp"",""compute_budget_contract"":""matched_controller_budget_and_complete_simulation_cost_ledger"",""cycle_time_contract"":""physical_cycle_and_simulated_cycle_both_recorded_no_unmapped_physical_time_claim"",""decision_target"":""six_state_logical_channel_lifetime_over_at_least_1e4_cycles"",""denominator_contract"":""all_six_state_trajectories_from_t0_with_registered_censoring_and_no_accepted_only_subset"",""evidence_grade_contract"":""UNTOUCHED_FORMAL_SIMULATION_plus_INDEPENDENT_BACKEND_REEVALUATION_simulated_only"",""history_horizon"":""causal_prefix_through_each_cycle_no_smoothing_or_future"",""missingness_contract"":""registered_censoring_is_observation_other_failures_retained_and_close_gate"",""multiplicity_contract"":""paired_cluster_maxT_95pct_all_six_states_lifetimes_baselines"",""noise_drift_family"":""preregistered_stationary_smooth_step_telegraph_burst_compound_action_conditioned_families"",""observability"":""observed_only_hidden_truth_never_deployable"",""observation_schema"":""frozen_same_representation_stratum_of_raw_or_recorded_IQ_LLR_confidence_timestamp_reset_ack_and_past_actions"",""online_privilege"":""same_update_cadence_state_memory_and_deadline"",""physical_backend_contract"":""same_registered_action_conditioned_twin_with_independent_backend_reevaluation"",""postselection_policy"":""PROHIBITED_ZERO_REJECTION_PRIMARY"",""precision_contract"":""same_frozen_IQ_LLR_parameter_and_action_precision_stratum"",""primary_estimand"":""T_X_T_Y_T_Z_T_ch_area_efolding_survival_and_fit_diagnostics"",""split_contract"":""same_untouched_formal_trajectories_or_preregistered_disjoint_lifetime_formal_split"",""state_family"":""balanced_plus_minus_X_Y_Z_logical_eigenstates_long_sequence"",""statistical_unit"":""paired_independent_device_scenario_trajectory_cluster_not_cycle"",""wall_clock_budget_contract"":""physical_protocol_time_separate_from_simulator_runtime_both_reported""},""signature_sha256"":""29003e03986be1cbc6e90ab216133e79e829dc2f7d921f9743846e72d36665ac"",""six_state_aggregation_contract"":{""average_only_promotion"":""PROHIBITED"",""promotion_minimum_scope"":""minimum_over_all_six_state_specific_registered_lifetime_contrasts_and_T_X_T_Y_T_Z_T_ch"",""reporting_weights"":""equal_one_sixth_with_all_state_specific_curves_retained""}}",a5eb31e75813a903e6e75efc1b505f42379a8c5533a1f5a718233db779b8753e
claim,LIFE-C0-PROTOCOL,"{""allowed_wording"":[""lane-local wording for LIFE-C0-PROTOCOL at its stated evidence grade""],""claim_id"":""LIFE-C0-PROTOCOL"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROTOCOL_ONLY""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""SUPPORTED_PROTOCOL_ONLY""}",b3e6fc131b106fd8edb562ecf5573f6ef8864f0834b8a072f40cc8366d0d9e30
claim,LIFE-C1-DEVELOPMENT,"{""allowed_wording"":[""lane-local wording for LIFE-C1-DEVELOPMENT at its stated evidence grade""],""claim_id"":""LIFE-C1-DEVELOPMENT"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PROJECT_NATIVE_DEVELOPMENT_SIMULATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",d6218fa941e5f0a8554c6903dc7c035f4b1e417edbf260c77f32cadee7295ea7
claim,LIFE-C2-DUAL-BACKEND-SIMULATED,"{""allowed_wording"":[""lane-local wording for LIFE-C2-DUAL-BACKEND-SIMULATED at its stated evidence grade""],""claim_id"":""LIFE-C2-DUAL-BACKEND-SIMULATED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",b2f8bb7c9d6be3441dea5ab7efdd56e6c1be1ea01894abe732929674c929dbd9
claim,LIFE-C3-BEST-REGISTERED,"{""allowed_wording"":[""lane-local wording for LIFE-C3-BEST-REGISTERED at its stated evidence grade""],""claim_id"":""LIFE-C3-BEST-REGISTERED"",""forbidden_wording"":[""cross-lane or unqualified evidence promotion"",""weighted-score or winner-count rescue""],""required_grades"":[""PAPER_CONSTRAINED_REIMPLEMENTATION"",""UNTOUCHED_FORMAL_SIMULATION"",""INDEPENDENT_BACKEND_REEVALUATION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""CLOSED""}",c59440752e8e299c25b146ea6719815d2eaeab6711c14f142b82c1b21b10c670
claim,LIFE-C4-PUVIANI-SURPASS,"{""allowed_wording"":[""surpasses official Puviani NMF only after official-exact same-signature qualification""],""claim_id"":""LIFE-C4-PUVIANI-SURPASS"",""forbidden_wording"":[""paper-constrained or project-native evidence described as official Puviani surpass"",""weighted-score or winner-count rescue""],""required_grades"":[""OFFICIAL_EXACT_REPRODUCTION""],""revocation_conditions"":[""task signature, denominator, baseline eligibility, split, evidence grade, or analysis hash changes"",""required gate or artifact provenance becomes incomplete""],""state"":""BLOCKED_NULL""}",faa6486bad0f9b4ea98a8b5d0dae5ac0eda70297e2b21ba0c0e09681bcd7e136
