row_id,response_state,topic,claim,boundary,source_ids_json,row_sha256
NMF-R11,MATCHED_COMPARISON,null_metrics,"The comparison manifest and raw data are null and all thirteen lifetime, paired-CI, compression and safety metrics are null.",Surpassing Puviani NMF remains explicitly prohibited.,"[""matched_gate""]",e9d6cbf5d9d756d5ebdc05a6cc5990c26400aeecc8f86ff208997ebfef3edd76
NMF-R12,PROJECT_NATIVE_DIRECTIONAL,scope,A separate project-native finite-cutoff study evaluates ten-cycle area-equivalent logical-Z lifetime under its own simulator and checkpoints.,"It is directional evidence, not official or paper-constrained six-state reproduction.","[""project_nmf""]",7baaa96cc8e51f1ddb82874bb1fc44b9b7e84d5d5effa9e04bc1a54bd4c65a6f
NMF-R13,PROJECT_NATIVE_DIRECTIONAL,primary_values,"At cutoff twelve, Standard, MF and NMF means are 2.747662, 6.534671 and 6.740785 cycles; NMF-minus-MF is 0.206114 with paired 95% CI [0.084161, 0.328067].",These values belong only to the project-native finite-horizon task.,"[""project_nmf""]",5b67e367b4c0dde8660e3f96321287a1b052ec91d2161ece596572681ee74b7e
NMF-R14,COUNTEREVIDENCE,cutoff_sensitivity,"At cutoff sixteen, Standard, MF and NMF means are 5.144172, 7.245903 and 7.708351, while the latest-only history-reset ablation reaches 8.271987.",The reversal against NMF prevents a universal memory-mechanism interpretation.,"[""project_nmf""]",e816916f0bd4de6c6a97db24375ede5abf4582a7b1e223411a2ce61fb2b28f8b
NMF-R15,TASK_SIGNATURE,non_equivalence,"Puviani's physical controller, the multimode per-round decoder and the single-mode digital RTL differ on every decision-defining axis.","Their lifetime, LER and latency values cannot share a denominator or global leaderboard.","[""exact_reproduction"",""headroom"",""rtl_hardware"",""manuscript""]",737cf0252b778691f6c9d998d5580009c77c8baa02ca3a5067fad73f33ecbb82
NMF-R16,CURRENT_PRIMARY,algorithm_result,"Across 79,872 development rounds, proposed and strongest static-mixture exact MLD both have p_L=0.111979 with zero relative improvement and zero lower bound.",The current algorithm result is NO-GO and cannot establish novelty by performance.,"[""headroom"",""final_gate""]",447a5528f48889ec07356e27d38bf0fe419e2dbff58cc82a4af8f2d9e93214a7
NMF-R17,DISTINCT_CONTRIBUTION,tail_contract,The regime-aware policy passes its registered synthetic tail-safety and nominal non-inferiority gates against the locked policy baseline.,"The result is fail-closed non-catastrophic behavior, not Puviani lifetime superiority.","[""tail_matrix""]",6e7194e844ffdae97d71aa3857c6740283705252d3749514655a9ae095dc1df8
NMF-R18,LIMITATION,fallback_cost,"Fallback is 0.001194 in nominal data but 0.594496 for telegraph drift and 0.958546 for calibration steps, with equal 181-error calibration worst windows.",High intervention cost and a tie to the locked adaptive arm remain visible.,"[""tail_matrix""]",85233ce069196a4707fe5d3bde604990e42ed5af8381265edbee94c3df584b80
NMF-R19,DISTINCT_CONTRIBUTION,teacher_student,"The historical 72,853-parameter teacher is approximated by a four-state, ninety-five-scalar student with evaluation MSE 6.083136e-6 and minimum retention point/lower bound 0.981457/0.944501.","This is finite-model retention/compression, not an official NMF replay.","[""learning_response""]",761de6f9c7df2f868f3d42d9f56c0115894bf423909517aacb9d4ac77c256ece
NMF-R20,LIMITATION,learning_status,Zero of sixteen learned families is same-task eligible; learning is dropped to ablation and the student is absent from the current RTL.,Neither the teacher nor student votes in the current algorithm or RTL verdict.,"[""learned_eligibility"",""learning_response"",""final_gate""]",5bb267f1ecf5647af9fa7e482212782072bb97253829dbc01075f788fb98f8e6
NMF-R21,DISTINCT_CONTRIBUTION,rtl_evidence,"The exact converged digital top passes seventeen formal gates, kills twenty-one mutants, and replays one million cycles with zero mismatch at six-cycle latency and II=1.","This establishes deterministic, atomic and fail-closed pre-board execution only.","[""rtl_formal"",""rtl_long"",""rtl_hardware""]",9d2e90f3913338661665c51dd366a453603217cbb67d998218163d4702c84d73
NMF-R22,LIMITATION,rtl_scope,"The RTL is a two-state MAP/event design; board latency, jitter, deadline misses, power and physical transfer remain null.","It does not execute Puviani NMF, the student or multimode MLD and does not prove physical lifetime or fastest-FPGA status.","[""rtl_formal"",""rtl_long"",""rtl_hardware"",""final_gate""]",80b94cb7e9bf659fe00f938ebd66a12c6a9827d6ebfbff8e069a3c7cbfb836a2
NMF-R23,FUTURE_PROMOTION,surpass_gate,"Future official-exact and paper-constrained lanes remain distinct and require matched protocol, full six-state no-postselection data and paired confidence intervals.",Phase 9 is a future program and cannot be cited as an achieved result.,"[""task_board"",""experiment_plan"",""new_risks""]",1577d2c708423a5985aeb77b5ea25c5f6e77b5e29aadf854f30e2dbd9f6880d8
NMF-R24,RESPONSE_WORDING,submission_readiness,The evidence-boundary answer is complete as a pre-emptive package.,It remains draft_with_placeholders until actual reviewer wording is supplied.,"[""task_board"",""new_risks""]",7af914ef3ec2843b1bab2cdeb49c064c6047df3736b179379405e175d51423a9
