section,row_id,lane_or_task,state_or_verdict,payload_json,payload_sha256
final_claim,RTL_SPEED_ADVANTAGE_PROHIBITED,SINGLE_MODE_DETERMINISTIC_RTL,PROHIBITED_POSITIVE,"{""blocking_gaps"":[""no same-task board comparator"",""current Fmax is observability-harness estimate"",""external tasks are incommensurate""],""claim_id"":""RTL_SPEED_ADVANTAGE_PROHIBITED"",""current_evidence"":{""fastest_or_sota"":false},""final_disposition"":""PROHIBITED_POSITIVE"",""final_wording"":""No FPGA speed advantage is claimed."",""forbidden_wording"":[""faster than existing FPGA decoders"",""fastest"",""SOTA latency""],""lane_id"":""SINGLE_MODE_DETERMINISTIC_RTL"",""paper_placements"":[""RelatedWork"",""Limitations"",""Supplement""],""parent_evidence_keys"":{""code"":[""rtl_formal_code"",""rtl_long_code"",""rtl_hardware_code""],""configs"":[""self_config"",""rtl_formal_config"",""rtl_long_config"",""rtl_hardware_config""],""raw_data"":[""rtl_formal_raw"",""rtl_long_raw"",""rtl_hardware_raw""],""reports"":[""rtl_formal_report"",""rtl_long_report"",""rtl_hardware_report""],""selectors"":[""formal_results"",""aggregate_python"",""clock_model"",""fmax_mhz"",""resource_summary"",""critical_paths""],""sources"":[""rtl_production_source"",""rtl_long_source"",""rtl_hardware_source""]},""parent_payload_sha256"":""910e074d155ad8328f6b28a63c2e98c5359d1839380011f8ac019f9a4f3b5a78"",""parent_state"":""PROHIBITED_POSITIVE"",""revocation_conditions"":[""write faster/fastest/SOTA latency"",""rank raw nanoseconds across code families""]}",d3723402b33bc7dbed051ab2a5c85d3aaf359bd3fe54e74ab36282c7818001a4
final_claim,LEARNING_APPROXIMATION_DROPPED,LEARNED_APPROXIMATION_EXTENSION,DROPPED_ABLATION_ONLY,"{""blocking_gaps"":[""no authorized Phase-6D teacher"",""no distillation/quantization/formal retention"",""T6.26.2 Dropped""],""claim_id"":""LEARNING_APPROXIMATION_DROPPED"",""current_evidence"":{""T6.26.1"":""Dropped"",""T6.26.2"":""Dropped"",""present_in_primary_rtl"":false},""final_disposition"":""DROPPED_ABLATION_ONLY"",""final_wording"":""CNN/student is absent from the primary Phase-6D result and retained only as a dropped/ablation status."",""forbidden_wording"":[""CNN-centric primary contribution"",""student proves SOTA"",""student proves RTL safety""],""lane_id"":""LEARNED_APPROXIMATION_EXTENSION"",""paper_placements"":[""Methods"",""Results"",""Supplement""],""parent_evidence_keys"":{""code"":[""dual_contract_code"",""mm_headroom_code"",""rtl_hardware_code""],""configs"":[""self_config"",""mm_headroom_config"",""rtl_hardware_config""],""raw_data"":[""dual_contract_raw"",""mm_headroom_source_data"",""rtl_hardware_raw""],""reports"":[""dual_contract_report"",""mm_headroom_report"",""rtl_hardware_report""],""selectors"":[""lanes.LEARNED_APPROXIMATION_EXTENSION"",""scope"",""learning_extension""],""sources"":[""cancellation_ledger"",""rtl_hardware_source""]},""parent_payload_sha256"":""13800de86246eec398137b5ee9a6506fc0b0826ddc486df7c509c27d2ef78d75"",""parent_state"":""DROPPED_ABSENT"",""revocation_conditions"":[""make CNN/student a primary contribution"",""use legacy CNN to alter either lane verdict""]}",16bf646e71ef68ebb90c5009e473200a463b7f491c8b86bfb98bb1d4e4c239e2
final_claim,DUAL_LANE_NONTRANSFERABILITY,META_CONTRACT,MANDATORY_META_BOUNDARY,"{""blocking_gaps"":[""current RTL does not execute multimode MLD"",""lanes have different task signatures and metrics""],""claim_id"":""DUAL_LANE_NONTRANSFERABILITY"",""current_evidence"":{""global_weighted_score"":null,""one_lane_cannot_satisfy_another_lane_gate"":true},""final_disposition"":""MANDATORY_META_BOUNDARY"",""final_wording"":""The two evidence lanes are parallel and connected by a contract pattern, not by a common performance denominator or current decoder deployment."",""forbidden_wording"":[""combined LER-latency score"",""RTL rescues multimode"",""multimode validates RTL""],""lane_id"":""META_CONTRACT"",""paper_placements"":[""TitleBoundary"",""Abstract"",""Methods"",""Discussion"",""Conclusion""],""parent_evidence_keys"":{""code"":[""dual_contract_code"",""mm_headroom_code"",""rtl_hardware_code""],""configs"":[""self_config"",""mm_headroom_config"",""rtl_hardware_config""],""raw_data"":[""dual_contract_raw"",""mm_headroom_source_data"",""rtl_hardware_raw""],""reports"":[""dual_contract_report"",""mm_headroom_report"",""rtl_hardware_report""],""selectors"":[""forbidden_transfers"",""headroom_gate"",""evidence_boundary""],""sources"":[""cancellation_ledger"",""rtl_production_source""]},""parent_payload_sha256"":""0b5502c8d2548ba52d2eaa424d3e9bf7da80b0c04c2358ded4cff8d152657eed"",""parent_state"":""META_BOUNDARY"",""revocation_conditions"":[""add a weighted LER-latency score"",""allow one lane to satisfy another lane gate"",""draw a deployment arrow without compiler/equivalence proof""]}",317d39b6dc5237c5fb695b5e90fb3083cfb091a0395143d4b4e794062b65c055
phase7_handoff,T7.1.5,T7.1.5,READY_AFTER_T6_26_4,"{""status"":""READY_AFTER_T6_26_4"",""task_id"":""T7.1.5""}",3f141d2dd5bc943c1f1e9cf622215e990070b16be4188b582c330b79837b23ea
phase7_handoff,T7.2.6,T7.2.6,WAIT_T7_1_5,"{""status"":""WAIT_T7_1_5"",""task_id"":""T7.2.6""}",eae0d5c3a4d6a9ce453246293bc605b941788ca1e65c6b2671e0854536ac0243
phase7_handoff,T7.3.8,T7.3.8,READY_FOR_NEGATIVE_ANSWER,"{""status"":""READY_FOR_NEGATIVE_ANSWER"",""task_id"":""T7.3.8""}",a960af816b64db4907e478d53f6271d80db366b34445c88948414aa5716048c7
phase7_handoff,T7.3.9,T7.3.9,READY_FOR_CONTRACT_BRIDGE_ANSWER,"{""status"":""READY_FOR_CONTRACT_BRIDGE_ANSWER"",""task_id"":""T7.3.9""}",c21f70a2fecaa11fba034dc18ce0ffacf47bfea8d56ca7180f124854c51eaa6f
phase7_handoff,T7.4.1,T7.4.1,WAIT_PHASE7_DELTA,"{""status"":""WAIT_PHASE7_DELTA"",""task_id"":""T7.4.1""}",2a2e1216973773b85389e3d99aca32843227293fddb1ebc04fd142366480e0cd
phase7_handoff,T7.4.3,T7.4.3,WAIT_PHASE7_DELTA,"{""status"":""WAIT_PHASE7_DELTA"",""task_id"":""T7.4.3""}",e7689be0a6c8f2ae18c08b599d78f1081939d1b0246578a474ddad9618923957
truth_table,"multimode=true,rtl=true",META,GO_TWO_LANE,"{""truth_key"":""multimode=true,rtl=true"",""verdict"":""GO_TWO_LANE""}",04548a749cdefce89f69c9d2e77634505d496bb2c64c1d3d09795cb05680fe05
truth_table,"multimode=true,rtl=false",META,GO_MULTIMODE_ONLY,"{""truth_key"":""multimode=true,rtl=false"",""verdict"":""GO_MULTIMODE_ONLY""}",c4b1a8138a8e0f6d3e4e381c65382da47f990f53975da99665769c610d77a733
truth_table,"multimode=false,rtl=true",META,GO_RTL_ONLY,"{""truth_key"":""multimode=false,rtl=true"",""verdict"":""GO_RTL_ONLY""}",d86b69da5c24ef245e3d50961c674f7fca2dff587f7a899c437765237e93f998
truth_table,"multimode=false,rtl=false",META,NO_GO,"{""truth_key"":""multimode=false,rtl=false"",""verdict"":""NO_GO""}",ffa8fed1520dfa36867d1145271ba9ef26b083a13188c7cf8b547d3dbd8e07b3
artifact,implementation,META,BINDING,"{""artifact_id"":""implementation"",""bytes"":36059,""path"":""cnn_fpga/benchmark/phase6d_final_dual_lane_gate.py"",""sha256"":""e7ff068ac48a8ab94bb1009a13d4bcde5a0310c8d9f75fa87a2da0d5fd00629a""}",ea9a914190af0ca85adc81edcc8928be2ba52d043f8cced9d19da8048e7e9bf4
artifact,self_config,META,BINDING,"{""artifact_id"":""self_config"",""bytes"":1608,""path"":""configs/phase6d/t6_26_4_final_dual_lane_gate.json"",""sha256"":""ac3978417cbed1ae651fb1b5ba160db3f21380762b0dde137509e33bd07e7655""}",61d748472090b3a8332ff05429270ff046abb219b5b277af3a5c9c048c58bb93
artifact,matrix_report,META,BINDING,"{""artifact_id"":""matrix_report"",""bytes"":65189,""path"":""docs/t6_26_3_dual_lane_evidence_matrix.json"",""sha256"":""3a45888a836faae56b6640a5437342de4cebcdce69bddd6716a92472f33220a1""}",ba3e62fc0b72d612fb0001dfd29186c6513c5531a7d28a6837710e6506c215a3
artifact,matrix_source_data,META,BINDING,"{""artifact_id"":""matrix_source_data"",""bytes"":47002,""path"":""docs/t6_26_3_dual_lane_evidence_source_data.csv"",""sha256"":""882823c835fb3f79d05f7d5fe779edc262422811d855938b4a98b97c1ceeef02""}",18e491b7b2e1fe7621b2951925a362f13fbc077abc874d1a6816e2a5ccf1d043
artifact,matrix_config,META,BINDING,"{""artifact_id"":""matrix_config"",""bytes"":2312,""path"":""configs/phase6d/t6_26_3_dual_lane_evidence_matrix.json"",""sha256"":""09dd65e9b3d8b655025e4965951bfe40d20fe876961c84abc756815800984d7c""}",f982995aa9247bc0cc8abfd581a8c791a7066a3889c30551c170f9beb17ce8db
artifact,matrix_code,META,BINDING,"{""artifact_id"":""matrix_code"",""bytes"":50664,""path"":""cnn_fpga/benchmark/phase6d_dual_lane_evidence_matrix.py"",""sha256"":""e86ffa21c9623ba5391f66289e975ed3e7d4675c75985c317418422f654574f5""}",8eb1885471b84e4c906cdbacee5838226f7d66ddb86448774b43fb2b407f8fff
artifact,matrix_markdown,META,BINDING,"{""artifact_id"":""matrix_markdown"",""bytes"":3633,""path"":""docs/phase6d_dual_lane_evidence_matrix.md"",""sha256"":""1e4f389924a2c05675a354c4942443c72462edf70f0d9248b0bfc92a611c1cba""}",9855a8df369f54084b0ade0e0e9ea09508084c01b098c65ca1306c33ff6e5553
artifact,cancellation_ledger,META,BINDING,"{""artifact_id"":""cancellation_ledger"",""bytes"":3034,""path"":""docs/phase6d_multimode_v1_cancellation_ledger.md"",""sha256"":""d468d37c973c3360036feab148195013e0247f1a88d0d54f7282d59dde8abf31""}",0185dbc9db2f9be2256e6e6fd376e64b8978eaf63b500d97aef7f12771eca006
artifact,headroom_report,META,BINDING,"{""artifact_id"":""headroom_report"",""bytes"":28011,""path"":""docs/t6_20_4_multimode_causal_headroom.json"",""sha256"":""091e68bdd63f7245999e7506c9eda4fc37970d02792f5d82eb53583364098d93""}",bc53a46d01e55b712ea1a595e281b896e1a5ed211ea6461f5f63d3afe6917524
artifact,headroom_raw,META,BINDING,"{""artifact_id"":""headroom_raw"",""bytes"":391830,""path"":""runs/t6_20_4_causal_headroom_raw.json"",""sha256"":""cf825e703b54a15de05bf8a54ffd498ffd5917fb3727e14f53ccf610105fde35""}",90c36b51f50e178391b0ca237339e69d146bcaae3c617baf52594da25bfb112b
artifact,headroom_config,META,BINDING,"{""artifact_id"":""headroom_config"",""bytes"":2942,""path"":""configs/phase6d/t6_20_4_causal_headroom.json"",""sha256"":""e0f21b8aa220bee40aa9b6e27e84d13cdf2e40a6a69d906e23ddb6c53ff8297f""}",82b7419e530d80d11507386602670d99a4e682b7dc94e0913f423c8e108bed84
