record_type,record_id,category,normalized_category,lane_id,source_id,field,value,uncertainty,unit,denominator,statistic,evidence_grade,source_locator,ranking_eligible,verdict,notes
resources,lachance_aqec_experiment:resources,AQEC,autonomous_physical_qec_protocol,aqec_wallclock,LACHANCE2024_AQEC,resources,"{""bram"":null,""device"":""superconducting cavity-transmon experiment"",""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":""AQEC2024 experiment""}",,,,,LITERATURE_ONLY,AQEC2024 experiment,False,,"May be compared only in a common wall-clock physical-protocol lane, never as a zero-latency decoder."
metric,lin_structured_cpd:surface_gkp_cpd_threshold,CPD,structured_lattice_closest_point_decoder,multimode_structured_lattice_cpd,LIN2023_CPD,surface-GKP noise threshold,0.602,,paper_sigma,paper structured surface-GKP family with exact CPD,reported finite-size threshold,LITERATURE_ONLY,LIN2023 abstract/results,True,,
metric,lin_structured_cpd:surface_gkp_analog_mwpm_threshold,CPD,structured_lattice_closest_point_decoder,multimode_structured_lattice_cpd,LIN2023_CPD,surface-GKP noise threshold,0.599,,paper_sigma,same paper structured surface-GKP family with analog MWPM,reported prior/comparator threshold,LITERATURE_ONLY,LIN2023 abstract/results,True,,
latency,lin_structured_cpd:latency,CPD,structured_lattice_closest_point_decoder,multimode_structured_lattice_cpd,LIN2023_CPD,latency,"{""boundary"":""no normalized hardware implementation latency"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""LITERATURE_ONLY"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""LIN2023 complexity results"",""source_to_action_ns"":null,""statistic"":""algorithmic complexity depends on lattice structure""}",,,,algorithmic complexity depends on lattice structure,LITERATURE_ONLY,LIN2023 complexity results,False,,"Generic exact CPD can be exponential, while specified structured families admit linear/polynomial algorithms; no class-wide speed label is valid."
resources,lin_structured_cpd:resources,CPD,structured_lattice_closest_point_decoder,multimode_structured_lattice_cpd,LIN2023_CPD,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""LITERATURE_ONLY"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":null}",,,,,LITERATURE_ONLY,,False,,"Generic exact CPD can be exponential, while specified structured families admit linear/polynomial algorithms; no class-wide speed label is valid."
method,project_t5_hybrid_fast_path,Hybrid CNN-FPGA,project_preboard_map_event_fast_path,fpga_implementation,PROJECT_T5_FAST_PATH,method_contract,,,,,,,,False,,Concrete project reference only; it is not evidence for the screenshot's generic Hybrid/CNN category.
latency,project_t5_hybrid_fast_path:latency,Hybrid CNN-FPGA,project_preboard_map_event_fast_path,fpga_implementation,PROJECT_T5_FAST_PATH,latency,"{""boundary"":""core input-valid to action output; excludes ADC, transport, CDC and actuation"",""closed_loop_ns"":null,""core_ns"":222.22222222222223,""evidence_grade"":""PROJECT_NATIVE_MATCHED"",""ii_ns"":37.03703703703704,""latency_cycles"":6,""source_locator"":""live T6.8.6 project_t5_fast_path_core_pr"",""source_to_action_ns"":null,""statistic"":""preboard three-seed P&R estimate at 27 MHz""}",,,,preboard three-seed P&R estimate at 27 MHz,PROJECT_NATIVE_MATCHED,live T6.8.6 project_t5_fast_path_core_pr,False,,Concrete project reference only; it is not evidence for the screenshot's generic Hybrid/CNN category.
resources,project_t5_hybrid_fast_path:resources,Hybrid CNN-FPGA,project_preboard_map_event_fast_path,fpga_implementation,PROJECT_T5_FAST_PATH,resources,"{""bram"":8.0,""device"":""Gowin GW2AR-LV18QN88C8/I7"",""dsp"":null,""evidence_grade"":""PROJECT_NATIVE_MATCHED"",""ff"":865,""lut"":3377,""power_w"":null,""precision"":""10-bit syndrome payload; 9-bit MAP address; 22-bit MAP LLR"",""source_locator"":""live T6.8.6 project_t5_fast_path_core_pr""}",,,,,PROJECT_NATIVE_MATCHED,live T6.8.6 project_t5_fast_path_core_pr,False,,Concrete project reference only; it is not evidence for the screenshot's generic Hybrid/CNN category.
method,project_v5_route_a,Hybrid CNN-FPGA,proposed_regime_aware_safe_adaptive_map,single_mode_decoder,PROJECT_V5_ROUTE_A,method_contract,,,,,,,,False,,"V5 early stop (NO_GO_V5_EARLY_HEADROOM_STOP); no adaptive LER, RTL, latency or resource claim exists."
latency,project_v5_route_a:latency,Hybrid CNN-FPGA,proposed_regime_aware_safe_adaptive_map,single_mode_decoder,PROJECT_V5_ROUTE_A,latency,"{""boundary"":""no V5 implementation exists"",""closed_loop_ns"":null,""core_ns"":null,""evidence_grade"":""NEGATIVE"",""ii_ns"":null,""latency_cycles"":null,""source_locator"":""live T6.15.5 evidence gate"",""source_to_action_ns"":null,""statistic"":""not run""}",,,,not run,NEGATIVE,live T6.15.5 evidence gate,False,,"V5 early stop (NO_GO_V5_EARLY_HEADROOM_STOP); no adaptive LER, RTL, latency or resource claim exists."
resources,project_v5_route_a:resources,Hybrid CNN-FPGA,proposed_regime_aware_safe_adaptive_map,single_mode_decoder,PROJECT_V5_ROUTE_A,resources,"{""bram"":null,""device"":null,""dsp"":null,""evidence_grade"":""NEGATIVE"",""ff"":null,""lut"":null,""power_w"":null,""precision"":null,""source_locator"":""live T6.15.5 evidence gate""}",,,,,NEGATIVE,live T6.15.5 evidence gate,False,,"V5 early stop (NO_GO_V5_EARLY_HEADROOM_STOP); no adaptive LER, RTL, latency or resource claim exists."
claim_audit,C01,CI,,,NOH2022_SURFACE_GKP,LER performance,,,,,,,Table I,False,NULL_CATEGORY_GENERALIZATION,CI performance depends on the task/noise; retain concrete Noh CNOT values only.
claim_audit,C02,CI,,,NOH2022_SURFACE_GKP,threshold,,,,,,,Table I; Fig. 6,False,NULL_CATEGORY_GENERALIZATION,No universal CI threshold exists.
claim_audit,C03,CI,,,NOH2022_SURFACE_GKP,latency,,,,,,,,False,NULL_UNSOURCED_IMPLEMENTATION_VALUE,"Scalar rounding has constant algorithmic form, but no concrete implementation/timing boundary supports <50 ns."
claim_audit,C04,CI,,,NOH2022_SURFACE_GKP,hardware cost,,,,,,,,False,NULL_CATEGORY_GENERALIZATION,Requires a concrete precision/device/netlist and resource report.
claim_audit,C05,ML/MAP,,,NOH2022_SURFACE_GKP,CNOT failure reduction,,,,,,,Table I,False,NULL_NONUNIVERSAL_SUMMARY,"Use squeezing-specific reductions: 31.782% at 9 dB, 58.458% at 12 dB, 67.192% at 13 dB."
claim_audit,C06,ML/MAP,,,NOH2022_SURFACE_GKP,threshold,9.9,,dB,,,,Fig. 6,False,SCOPED_LITERATURE_VALUE_NOT_GLOBAL_RANK,Full concatenated surface-GKP finite-size threshold under finite-squeezing-only noise; not gate-level ML or single-mode project threshold.
claim_audit,C07,ML/MAP,,,NOH2022_SURFACE_GKP,latency,,,,,,,,False,NULL_UNSOURCED_IMPLEMENTATION_VALUE,"Noh reports no implementation latency; ML/MAP is a decision rule, not one runtime."
claim_audit,C08,ML/MAP,,,NOH2022_SURFACE_GKP,hardware cost,,,,,,,,False,NULL_CATEGORY_GENERALIZATION,Requires implementation-specific resources.
claim_audit,C09,Direct NN/RL,,,WANG2022_DIRECT_NN;SIVAK2023_RL_GKP;PUVIANI2025_NMF,method identity,,,,,,,methods sections,False,REJECTED_ONTOLOGY_MERGE,"Direct decoder, model-free controller and model-based Feedback-GRAPE controller are distinct."
claim_audit,C10,Direct NN/RL,,,WANG2022_DIRECT_NN,LER performance,,,,,,,abstract,False,NULL_CATEGORY_GENERALIZATION,Keep concrete code/noise/threshold results only.
claim_audit,C11,Direct NN/RL,,,WANG2022_DIRECT_NN;YANG2026_FPGA_NN;SIVAK2026_RL_DRIFT,drift adaptation,,,,,,,primary articles,False,NULL_CATEGORY_GENERALIZATION,Wang/Yang direct decoders do not establish online adaptation; Sivak 2026 is a separately scoped controller experiment.
claim_audit,C12,Direct NN/RL,,,OVERWATER2022_FPGA_NN;YANG2026_FPGA_NN,latency,,,,,,,Overwater Table IV;Yang Fig. 1/Table I,False,NULL_FALSE_CLASS_RANGE,Concrete boundaries include 87.6 ns post-implementation core estimate and 124 ns core / 550 ns real closed loop; no class-wide range.
claim_audit,C13,Direct NN/RL,,,OVERWATER2022_FPGA_NN;YANG2026_FPGA_NN,hardware cost,,,,,,,implementation tables,False,NULL_CATEGORY_GENERALIZATION,"Resource cost depends on network, precision, code size, device and timing target."
claim_audit,C14,AQEC,,,LACHANCE2024_AQEC,lifetime gain,1.14,,ratio,,,,Supplement Tables SIV-SV,False,SCOPED_PRIMARY_VALUE,"The optimized experimental ratios are 1.14(18) and 1.14(16), i.e. about 14%, not a universal 20%."
