record_type,record_id,lane_id,payload_json,canonical_sha256
forbidden_transfer,FT-MM-LER-TO-CURRENT-RTL,MULTIMODE_SOFTWARE_ALGORITHM,"{""reason"":""different code family, action and precision"",""rejection_code"":""CROSS_LANE_IMPLEMENTATION_PROMOTION"",""source_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""target_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""transfer_id"":""FT-MM-LER-TO-CURRENT-RTL"",""trigger"":""promote multimode LER to current RTL implementation""}",bde76c32227f35b1cb8aa3bc099aa62bdcae53ef7cf94925e296a5bd835d2407
forbidden_transfer,FT-RTL-LATENCY-TO-MULTIMODE,SINGLE_MODE_DETERMINISTIC_RTL,"{""reason"":""multimode compute graph is not the RTL datapath"",""rejection_code"":""CROSS_LANE_TIMING_PROMOTION"",""source_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""target_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""transfer_id"":""FT-RTL-LATENCY-TO-MULTIMODE"",""trigger"":""attach six-cycle latency to multimode decoder""}",8d5557a0880b57f75e7e4872a080bc6bb602715caa1ff92af2ad5824a1c6a877
forbidden_transfer,FT-CNN-TO-ALGORITHM-SOTA,LEARNED_APPROXIMATION_EXTENSION,"{""reason"":""agreement cannot replace untouched LER comparison"",""rejection_code"":""SURROGATE_TO_PRIMARY_PROMOTION"",""source_lane"":""LEARNED_APPROXIMATION_EXTENSION"",""target_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""transfer_id"":""FT-CNN-TO-ALGORITHM-SOTA"",""trigger"":""use student agreement as the algorithm SOTA gate""}",415cf685da3e8adc1b8ea126b38038e0e2982f80cb2730c513dfd36121bf2037
forbidden_transfer,FT-CNN-TO-RTL-SAFETY,LEARNED_APPROXIMATION_EXTENSION,"{""reason"":""software accuracy does not prove atomicity or fail-closed behavior"",""rejection_code"":""SURROGATE_TO_RTL_PROMOTION"",""source_lane"":""LEARNED_APPROXIMATION_EXTENSION"",""target_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""transfer_id"":""FT-CNN-TO-RTL-SAFETY"",""trigger"":""use model accuracy as RTL safety evidence""}",408800db730892f0a57134edf935d79b9da29a28edb86f332b68fab89994ebde
forbidden_transfer,FT-PREBOARD-TO-BOARD-MEASURED,SINGLE_MODE_DETERMINISTIC_RTL,"{""reason"":""physical bitstream, transport and instrument evidence are absent"",""rejection_code"":""EVIDENCE_LAYER_PROMOTION"",""source_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""target_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""transfer_id"":""FT-PREBOARD-TO-BOARD-MEASURED"",""trigger"":""rename CXXRTL/P&R estimate as board measurement""}",c2a8177a4a9130e4deda0e430a52e6ebef2cc8e5a6774a717c6f320d17d3c675
forbidden_transfer,FT-OPENED-DEVELOPMENT-TO-FORMAL,MULTIMODE_SOFTWARE_ALGORITHM,"{""reason"":""development and untouched formal evidence must be disjoint"",""rejection_code"":""SPLIT_CONTAMINATION"",""source_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""target_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""transfer_id"":""FT-OPENED-DEVELOPMENT-TO-FORMAL"",""trigger"":""reuse T6.18.3 opened outcomes as Phase-6D formal""}",ea93c45454016990108200c8e71efd0d9831dc29a1224259fd7c9a5417951a4f
forbidden_transfer,FT-SOURCE-PRESENCE-TO-REPRODUCTION,MULTIMODE_SOFTWARE_ALGORITHM,"{""reason"":""source audit is not execution or anchor agreement"",""rejection_code"":""PROVENANCE_PROMOTION"",""source_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""target_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""transfer_id"":""FT-SOURCE-PRESENCE-TO-REPRODUCTION"",""trigger"":""treat pinned exact-MLD source as a reproduced baseline""}",620d5381290eb39cab77ecce7e41ab66a377b3e1ff0917d76f200ac934ef45ce
forbidden_transfer,FT-TRUE-METRIC-CPD-TO-EXACT-ORACLE,MULTIMODE_SOFTWARE_ALGORITHM,"{""reason"":""metric knowledge does not perform logical-coset probability summation"",""rejection_code"":""ORACLE_HIERARCHY_COLLAPSE"",""source_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""target_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""transfer_id"":""FT-TRUE-METRIC-CPD-TO-EXACT-ORACLE"",""trigger"":""label true-metric CPD as exact decoding oracle""}",2767255d09d8ffb0cde457ee2ff1d5db685defca2fc1641d3601c1cb287e7726
forbidden_transfer,FT-CROSS-LANE-WEIGHTED-SCORE,MULTIMODE_SOFTWARE_ALGORITHM,"{""reason"":""primary metrics and task signatures are incommensurate"",""rejection_code"":""GLOBAL_SCORE_PROHIBITED"",""source_lane"":""MULTIMODE_SOFTWARE_ALGORITHM"",""target_lane"":""SINGLE_MODE_DETERMINISTIC_RTL"",""transfer_id"":""FT-CROSS-LANE-WEIGHTED-SCORE"",""trigger"":""combine LER and latency/safety into one weighted rank""}",952ec67a0d09c55681b45b2b42126e7da8920a423c8489ccff7d4326b4085d5e
evidence_binding,multimode_baseline_registry,,"{""bytes"":13082,""path"":""docs/multimode_strong_baseline_registry.md"",""sha256"":""6baf8bd3715a74967729c2dfaffa4bb5ac47c2867b07a9b10589d7c15ef1aed7""}",c5ab306ad548b60e6cc8c585a02055ea662691f49ca7f99d519afc923ec440a6
evidence_binding,historical_claim_boundary,,"{""bytes"":80985,""path"":""docs/t7_1_1_claim_evidence_boundary_matrix.json"",""sha256"":""de45b2b97cb51c1044a091a3668d382267edbff28479077208f878aaf0492c74""}",090fef63fd1df73c20dcbce1b30ff908adb7a6610b9966e691a0da93d3c718fb
evidence_binding,comparison_ontology,,"{""bytes"":61056,""path"":""docs/t6_16_2_comparison_ontology.json"",""sha256"":""c3d1138466993c6685b1ec4a75feb857c436cc3c15ca9eedd18aab225a81b21c""}",67d524d781fd71823981dce15b27ac05d50fb7088f082f7980319b14ea6de977
evidence_binding,unified_execution_source,,"{""bytes"":32740,""path"":""cnn_fpga/runtime/unified_execution_contract.py"",""sha256"":""4be20609164ea6ba6bf540dd9a8cffd8dd7515fa42ae2af37c8c78dcdf506f36""}",184f2475ccc6c0f5143465a8a94001553139e29ff2c815a1f89770e8855f55d4
evidence_binding,domain_timescale_contract,,"{""bytes"":14350,""path"":""docs/two_domains_three_timescales.json"",""sha256"":""f3fd8728bc3945417e0a2d977d1cbba52f69ee4714d52af257b4a1bd2463672b""}",70d6b2333a2fc5ca7ea160ca0e9d4b0ebdb98bafaca3b3ec5d7d5eff0c5475de
evidence_binding,long_rtl_qualification,,"{""bytes"":28673,""path"":""docs/t6_2_2_long_rtl_qualification.json"",""sha256"":""207b4e82b65a286e5ee23f16f387730a783ea34101d8cf7b9f80ae6e39d2b2cd""}",b33be5cc9c0e3cac2f46eb102b8f105876a1effa22bc1a5e2ece889875492ce1
evidence_binding,production_rtl_audit,,"{""bytes"":3813,""path"":""docs/t6_2_1_production_rtl_audit.json"",""sha256"":""b8f7d0a1e694e32749c6c585b19a2e1ef962c080152fdb236221e33cf2b89602""}",44fa1aa3f5fb5863b9b1d4698b6a3e40af3919b33caf918d766f5b6b419546a5
evidence_binding,production_rtl,,"{""bytes"":23726,""path"":""cnn_fpga/rtl/gkp_fast_path_production_top.sv"",""sha256"":""a81989f6e642210e3e582872a44f1fdf1d886b233d036120fdc9d8ebda7a7e8a""}",e4f59f6fe92e4b02932fb66f30257b49cce0f59e33a2e0ba185b425a771700c9
evidence_binding,official_lattice_gkp_source,,"{""bytes"":6914,""path"":""third_party/LatticeAlgorithms.jl/src/gkp.jl"",""sha256"":""9f8c62d77731ed41d95ac9d6fde73facec3db9498bde83462737e2823bdd1d29""}",9a5ec2b5116b1a28fda9fecb042e8c6fe3e09b3ea5d48b6cf42f7713a1cf0259
evidence_binding,implementation,,"{""bytes"":41834,""path"":""cnn_fpga/benchmark/dual_evidence_lane_contract.py"",""sha256"":""385c7e87e4c0f274f5746f980c2a128381a7a9f27b1abdc92541b241b7a40ece""}",9eba069d00710bcfd151207d7afbedbcdb4dedb9c0077120b126c72133bae086
